strategy_id,symbol,timeframe,stage_reached,status,error,counts_as_attempt,tradable,tradability_judged,spread_atr_ratio,spread_stop_share,tradability_reason,gate_passed,gate_signals,gate_best_net_points,gate_best_p_value,gate_verdict,expected_ambiguous_share,ambiguity_flag,run_id,bars,trades,net_pnl,final_equity,sharpe_per_trade,sharpe_annualized,mean_r,win_rate,max_drawdown_pct,p_value,ambiguous_share,band_money,signals,gate_rejected,gate_rejected_share,structural_rejected_share,discretionary_rejected_share,equity_rejected_share,gates_materially_altered,top_gate,top_gate_share,gate_warnings,spread_charged_median,spread_zero_share,spread_trustworthy,spread_measured_share,spread_assumed_bars,relaxed_trades,relaxed_net_pnl,relaxed_sharpe_per_trade,relaxed_verdict,permutation_p_value,permutation_kind,permutation_iterations
atr-volatility-breakout,XAGUSD.r,D1,backtest,too few trades (3 < 30),,True,True,True,0.018251616491909286,0.009125808245954643,"spread is 1.8% of one ATR (13 of 712 points), 0.9% of a 2x ATR stop. The spread was measured from 2025-04-03, after this series begins (2020-02-27): for the earlier bars it is an assumption, not a measurement",True,100,2937.5708256271637,0.0016722988974843256,"PASSES on 6 of 15 combinations. Best: both at 30 bars, net +1439.82 pt (p=0.0145). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.11627906976744186,False,b2a4fc4cef92344d,1682,3.0,-120.22002258431874,-20.22002258431874,-0.4005816117573099,-0.3319477577083262,-0.06718380589639154,0.3333333333333333,1.1019656774752637,0.5595429955756921,0.0,0.0,100.0,97.0,0.97,0.03,0.0,0.94,True,insufficient_equity,0.94,"['equity too small for the minimum lot rejected 94 of 100 signals (94%): above 20%, this gate is selecting the trades rather than trimming the tail']",13.0,0.0,True,0.0,1682.0,,,,"97% of the signals never became trades, and 94% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
atr-volatility-breakout,XAUUSD.r,H1,backtest,too few trades (12 < 30),,True,True,True,0.012728058057192923,0.006364029028596461,"spread is 1.3% of one ATR (7 of 550 points), 0.6% of a 2x ATR stop. The spread was measured from 2025-04-02, after this series begins (2020-02-27): for the earlier bars it is an assumption, not a measurement",True,1946,237.29267453733087,0.015349358201767749,"PASSES on 3 of 15 combinations. Best: both at 15 bars, net +180.81 pt (p=0.0025). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.08405225536110425,False,ce4bbbeac7647942,38510,12.0,-113.84984118752189,-13.849841187521921,-0.4240247739058914,-0.46546982449659274,-0.23895790651817786,0.25,1.125102095765998,0.16987825144145607,0.0,0.0,1946.0,1934.0,0.9938335046248715,0.0010277492291880781,0.0,0.9928057553956835,True,insufficient_equity,0.9928057553956835,"['equity too small for the minimum lot rejected 1932 of 1946 signals (99%): above 20%, this gate is selecting the trades rather than trimming the tail']",7.0,0.0,True,0.11519085951700857,34074.0,,,,"99% of the signals never became trades, and 99% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
donchian-breakout,XAUUSD.r,D1,backtest,too few trades (6 < 30),,True,True,True,0.002362462220752431,0.0011812311103762156,"spread is 0.2% of one ATR (7 of 2963 points), 0.1% of a 2x ATR stop. The spread was measured from 2025-04-02, after this series begins (2020-02-27): for the earlier bars it is an assumption, not a measurement",True,139,5955.625599261526,0.09672897197899055,"PASSES on 2 of 15 combinations. Best: both at 30 bars, net +3297.98 pt (p=0.0187). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.07009345794392523,False,ca0bf86e821a29e3,1682,6.0,-146.58657185404232,-46.58657185404231,-0.44481088728815527,0.0037479381107150913,-0.5601095660363103,0.16666666666666666,1.1970455146554417,0.3256110650021298,0.0,0.0,139.0,133.0,0.9568345323741008,0.07194244604316546,0.0,0.8848920863309353,True,insufficient_equity,0.8848920863309353,"['equity too small for the minimum lot rejected 123 of 139 signals (88%): above 20%, this gate is selecting the trades rather than trimming the tail']",7.0,0.0,True,0.0,1682.0,,,,"96% of the signals never became trades, and 88% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
ema-trend-filter,XBRUSD,H4,backtest,too few trades (10 < 30),,True,True,True,0.03858196341765645,0.019290981708828224,"spread is 3.9% of one ATR (30 of 778 points), 1.9% of a 2x ATR stop. The spread was measured from 2025-02-14, after this series begins (2020-02-27): for the earlier bars it is an assumption, not a measurement",True,463,731.0506209513906,0.052845586180918946,"PASSES on 1 of 15 combinations. Best: short at 30 bars, net +491.99 pt (p=0.0362). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.03651354534746761,False,0c13c8bb6c76572a,10066,10.0,-118.6595064434776,-18.65950644347759,-0.4666366540749122,-0.04811551599004146,-0.5838769427001033,0.2,1.172083266708716,0.1741482322383514,0.0,0.0,463.0,453.0,0.978401727861771,0.08423326133909287,0.0,0.8941684665226782,True,insufficient_equity,0.8941684665226782,"['equity too small for the minimum lot rejected 414 of 463 signals (89%): above 20%, this gate is selecting the trades rather than trimming the tail']",30.0,0.0,True,0.0,10066.0,,,,"98% of the signals never became trades, and 89% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
roc-momentum,GBPUSD.r,D1,backtest,too few trades (11 < 30),,True,True,True,0.0032331466889170043,0.0016165733444585021,"spread is 0.3% of one ATR (3 of 928 points), 0.2% of a 2x ATR stop. The spread was measured from 2025-04-30, after this series begins (2021-05-25): for the earlier bars it is an assumption, not a measurement",True,164,609.0686567164187,0.07290078002466482,"PASSES on 1 of 15 combinations. Best: long at 15 bars, net +480.39 pt (p=0.0302). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.017543859649122806,False,9dabb3a18ddcdf80,1370,11.0,-115.04939169047721,-15.0493916904772,-0.5486092850045201,-0.22905951735818048,-0.48408993609956885,0.18181818181818182,1.13825167487979,0.09885256733726866,0.0,0.0,164.0,153.0,0.9329268292682927,0.12804878048780488,0.0,0.8048780487804879,True,insufficient_equity,0.8048780487804879,"['equity too small for the minimum lot rejected 132 of 164 signals (80%): above 20%, this gate is selecting the trades rather than trimming the tail']",3.0,0.0,True,0.0,1370.0,,,,"93% of the signals never became trades, and 80% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
atr-volatility-breakout,XAUEUR.r,H4,backtest,too few trades (13 < 30),,True,True,True,0.010087175386279757,0.005043587693139878,"spread is 1.0% of one ATR (10 of 991 points), 0.5% of a 2x ATR stop. The spread was measured from 2025-04-04, after this series begins (2021-06-21): for the earlier bars it is an assumption, not a measurement",True,401,451.58596028078773,0.32985301726930416,"PASSES on 1 of 15 combinations. Best: long at 5 bars, net +411.92 pt (p=0.0227). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.0709838107098381,False,d9f2a1b3854279ba,8053,13.0,-105.43053115811011,-5.430531158110108,-0.5606584494190261,-0.16283488128758825,-0.5633489153019113,0.15384615384615385,1.0543053115811012,0.06611217041672002,0.0,0.0,401.0,388.0,0.9675810473815462,0.0024937655860349127,0.0,0.9650872817955112,True,insufficient_equity,0.9650872817955112,"['equity too small for the minimum lot rejected 387 of 401 signals (97%): above 20%, this gate is selecting the trades rather than trimming the tail']",10.0,0.0,True,0.0,8053.0,,,,"97% of the signals never became trades, and 97% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
bollinger-breakout,XAUEUR.r,H4,backtest,too few trades (14 < 30),,True,True,True,0.010087175386279757,0.005043587693139878,"spread is 1.0% of one ATR (10 of 991 points), 0.5% of a 2x ATR stop. The spread was measured from 2025-04-04, after this series begins (2021-06-21): for the earlier bars it is an assumption, not a measurement",True,445,584.7667804398116,0.001024465174054523,"PASSES on 2 of 15 combinations. Best: long at 5 bars, net +584.77 pt (p=0.0010). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.07003444316877153,False,64f60850c67f5495,8053,14.0,-113.1860245214566,-13.186024521456586,-0.5875287083151957,-0.5718893203952734,-0.6417261084031226,0.14285714285714285,1.1318602452145659,0.046640244009290344,0.0,0.0,445.0,431.0,0.9685393258426966,0.006741573033707865,0.0,0.9617977528089887,True,insufficient_equity,0.9617977528089887,"['equity too small for the minimum lot rejected 428 of 445 signals (96%): above 20%, this gate is selecting the trades rather than trimming the tail']",10.0,0.0,True,0.0,8053.0,,,,"97% of the signals never became trades, and 96% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
rsi-mean-reversion,XBRUSD,H4,backtest,too few trades (10 < 30),,True,True,True,0.03858196341765645,0.019290981708828224,"spread is 3.9% of one ATR (30 of 778 points), 1.9% of a 2x ATR stop. The spread was measured from 2025-02-14, after this series begins (2020-02-27): for the earlier bars it is an assumption, not a measurement",True,316,748.1068159104532,0.05310810331714355,"PASSES on 4 of 15 combinations. Best: both at 60 bars, net +747.49 pt (p=0.0097). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.09696225836146058,False,d625d0f932d42bc1,10066,10.0,-105.42203140233252,-5.422031402332539,-0.6987112322879009,-0.6619369452010797,-0.6828990232402775,0.3,1.0519628574327595,0.05448798791822451,0.0,0.0,316.0,306.0,0.9683544303797469,0.012658227848101266,0.0,0.9556962025316456,True,insufficient_equity,0.9556962025316456,"['equity too small for the minimum lot rejected 302 of 316 signals (96%): above 20%, this gate is selecting the trades rather than trimming the tail']",30.0,0.0,True,0.0,10066.0,,,,"97% of the signals never became trades, and 96% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
bollinger-mean-reversion,XBRUSD,H4,backtest,too few trades (7 < 30),,True,True,True,0.03858196341765645,0.019290981708828224,"spread is 3.9% of one ATR (30 of 778 points), 1.9% of a 2x ATR stop. The spread was measured from 2025-02-14, after this series begins (2020-02-27): for the earlier bars it is an assumption, not a measurement",True,608,484.43262070926426,0.06911775357239303,"PASSES on 1 of 15 combinations. Best: both at 60 bars, net +482.88 pt (p=0.0181). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.09824561403508772,False,0e017439f191fddd,10066,7.0,-101.52321252384877,-1.523212523848784,-0.7357066516582053,-0.5912258530546635,-0.5942337000266269,0.2857142857142857,1.015232125238488,0.0995412411739478,0.0,0.0,608.0,601.0,0.9884868421052632,0.001644736842105263,0.0,0.9868421052631579,True,insufficient_equity,0.9868421052631579,"['equity too small for the minimum lot rejected 600 of 608 signals (99%): above 20%, this gate is selecting the trades rather than trimming the tail']",30.0,0.0,True,0.0,10066.0,,,,"99% of the signals never became trades, and 99% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
ema-trend-filter,XBRUSD,D1,backtest,too few trades (2 < 30),,True,True,True,0.014020380705156456,0.007010190352578228,"spread is 1.4% of one ATR (30 of 2140 points), 0.7% of a 2x ATR stop. The spread was measured from 2025-02-14, after this series begins (2020-02-27): for the earlier bars it is an assumption, not a measurement",True,72,7830.96274726768,3.1710398261997064e-05,"PASSES on 4 of 15 combinations. Best: short at 120 bars, net +7830.96 pt (p=0.0000). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.033898305084745756,False,adf12f7738d746d0,1681,2.0,-346.4051439880011,-246.40514398800107,-1.134849132081134,-0.4523198561515301,-2.135984169857086,0.0,2.2039249198790793,0.3547376599202279,0.0,0.0,72.0,70.0,0.9722222222222222,0.1527777777777778,0.0,0.8194444444444444,True,insufficient_equity,0.8194444444444444,"['equity too small for the minimum lot rejected 59 of 72 signals (82%): above 20%, this gate is selecting the trades rather than trimming the tail']",30.0,0.0,True,0.0,1681.0,,,,"97% of the signals never became trades, and 82% of them because the account no longer held enough equity for the broker's minimum lot. That is not a risk block choosing trades, it is a strategy that lost the money it needed to keep trading: the equity curve after that point is a flat line, not a result",,,
